datetime,timestamp,open,high,low,close,volume
2025-07-12 17:00:00+00:00,1752339600000,117191.08,117548.69,117186.81,117478.4,209.00655
2025-07-12 18:00:00+00:00,1752343200000,117478.4,117509.76,117378.91,117504.0,161.72998
2025-07-12 19:00:00+00:00,1752346800000,117504.01,117639.98,117439.72,117550.96,307.8177
2025-07-12 20:00:00+00:00,1752350400000,117550.96,117550.96,117023.35,117023.36,154.52026
2025-07-12 21:00:00+00:00,1752354000000,117023.36,117555.5,117000.01,117485.22,207.04733
2025-07-12 22:00:00+00:00,1752357600000,117485.21,117563.75,117312.04,117385.37,233.15011
2025-07-12 23:00:00+00:00,1752361200000,117385.38,117460.02,117219.53,117420.0,117.07289
2025-07-13 00:00:00+00:00,1752364800000,117420.0,117458.48,117248.21,117316.1,163.58729
2025-07-13 01:00:00+00:00,1752368400000,117316.1,117640.61,117224.79,117553.37,236.13001
2025-07-13 02:00:00+00:00,1752372000000,117553.37,117817.16,117407.94,117620.0,158.6613
2025-07-13 03:00:00+00:00,1752375600000,117620.0,117824.76,117600.81,117753.6,138.03288
2025-07-13 04:00:00+00:00,1752379200000,117753.59,117892.23,117684.22,117879.22,222.50112
2025-07-13 05:00:00+00:00,1752382800000,117879.22,117904.75,117700.65,117759.99,150.55904
2025-07-13 06:00:00+00:00,1752386400000,117759.99,117978.97,117742.31,117888.51,186.7356
2025-07-13 07:00:00+00:00,1752390000000,117888.51,118054.79,117852.0,117999.0,308.18406
2025-07-13 08:00:00+00:00,1752393600000,117998.99,118006.96,117756.39,117895.78,165.74382
2025-07-13 09:00:00+00:00,1752397200000,117895.78,117901.34,117689.63,117739.16,151.43307
2025-07-13 10:00:00+00:00,1752400800000,117739.16,117845.48,117739.16,117747.99,98.78511
2025-07-13 11:00:00+00:00,1752404400000,117748.0,118086.66,117747.99,118072.01,269.48693
2025-07-13 12:00:00+00:00,1752408000000,118072.01,118636.92,117989.53,118432.11,689.7104
2025-07-13 13:00:00+00:00,1752411600000,118432.11,118750.0,118154.81,118610.01,736.92273
2025-07-13 14:00:00+00:00,1752415200000,118610.0,119376.0,118353.2,118766.94,1897.939057
2025-07-13 15:00:00+00:00,1752418800000,118766.94,119124.0,118532.84,118672.24,566.53213
2025-07-13 16:00:00+00:00,1752422400000,118672.23,118982.89,118520.0,118528.01,483.67524
2025-07-13 17:00:00+00:00,1752426000000,118528.0,118844.83,118382.56,118699.6,348.79838
2025-07-13 18:00:00+00:00,1752429600000,118699.6,119070.24,118592.01,118992.73,315.39573
2025-07-13 19:00:00+00:00,1752433200000,118992.73,119488.0,118897.44,118961.08,601.53222
2025-07-13 20:00:00+00:00,1752436800000,118961.09,119367.37,118826.0,119083.6,290.26988
2025-07-13 21:00:00+00:00,1752440400000,119083.6,119083.6,118500.01,118648.87,421.07599
2025-07-13 22:00:00+00:00,1752444000000,118648.86,118774.64,118243.68,118520.01,584.71541
2025-07-13 23:00:00+00:00,1752447600000,118520.01,119198.0,118386.55,119086.64,364.38555
2025-07-14 00:00:00+00:00,1752451200000,119086.65,119470.54,118916.17,119061.4,538.61781
2025-07-14 01:00:00+00:00,1752454800000,119061.4,119238.1,118905.18,119100.58,349.35207
2025-07-14 02:00:00+00:00,1752458400000,119100.58,119999.0,118969.56,119647.88,1311.09415
2025-07-14 03:00:00+00:00,1752462000000,119647.88,121492.48,119592.7,120750.24,3219.468856
