id,ts_source,ts_captured,btc_dominance_pct,usdt_dominance_pct,eth_dominance_pct,total_market_cap_usd,total3_usd,btc_market_cap_usd,fetch_status,usdc_dominance_pct,stablecoin_dominance_pct
1,2026-07-06 05:10:46+00:00,2026-07-06 05:20:42.488358+00:00,55.75250253821861,8.110087899620975,9.426557696461026,2270501029678.542,790609795915.3436,1265861144201.8088,ok,,
3,2026-07-06 10:11:07+00:00,2026-07-06 10:20:01.198319+00:00,55.7011041187029,8.152318033038016,9.42181971707475,2258992849169.961,787870656549.3436,1258283958950.2131,ok,,
5,2026-07-06 10:21:07+00:00,2026-07-06 10:30:02.457607+00:00,55.70466564249016,8.14589695008268,9.42090240890454,2260620165356.892,788378441183.8381,1259270904558.765,ok,,
7,2026-07-06 10:31:08+00:00,2026-07-06 10:40:01.153355+00:00,55.69616223336994,8.142444871467529,9.421078652179771,2261718390786.448,788949778105.258,1259690344194.3838,ok,,
9,2026-07-06 10:41:08+00:00,2026-07-06 10:50:01.134912+00:00,55.71364852875062,8.129452705023729,9.429966756623394,2265331118561.4087,789612529745.9048,1262098617407.718,ok,,
11,2026-07-06 10:51:09+00:00,2026-07-06 11:00:04.186415+00:00,55.66508386752113,8.137215397371547,9.437243406963054,2262745946636.0454,789645675066.9219,1259559428903.8896,ok,,
13,2026-07-06 11:01:09+00:00,2026-07-06 11:10:01.076206+00:00,55.647642624408725,8.142721270751666,9.436352001356548,2262472779057.3174,789965117126.2507,1259012766564.3442,ok,,
15,2026-07-06 11:11:10+00:00,2026-07-06 11:20:01.056375+00:00,55.655568144368,8.141979501067,9.430343272327743,2261363824872.5645,789534569006.8043,1258574884544.0369,ok,,
17,2026-07-06 11:21:11+00:00,2026-07-06 11:30:01.113705+00:00,55.66356173150755,8.144096838328931,9.430876951843592,2261163651767.527,789271864937.4906,1258644225152.0276,ok,,
19,2026-07-06 11:31:12+00:00,2026-07-06 11:40:01.021718+00:00,55.67204019016212,8.138612252630143,9.429012508922192,2262936938163.3647,789741169502.5876,1259823161692.3325,ok,,
21,2026-07-06 11:41:13+00:00,2026-07-06 11:50:00.925875+00:00,55.66310284703474,8.135952999549986,9.440205243741572,2263472657471.8457,789877079727.4677,1259919113243.0637,ok,,
23,2026-07-06 11:51:13+00:00,2026-07-06 12:00:01.023236+00:00,55.69375821425271,8.131402488900223,9.43613819061148,2264325171076.488,789572532885.1075,1261087785963.8032,ok,,
25,2026-07-06 12:01:14+00:00,2026-07-06 12:10:01.268287+00:00,55.63382637516116,8.159017716976065,9.427011600286416,2254755291388.6094,787792604515.4352,1254406643995.8982,ok,,
27,2026-07-06 12:11:14+00:00,2026-07-06 12:20:00.944850+00:00,55.53581709300119,8.238182559786285,9.393469373427171,2236905889702.3403,784498856593.1,1242283963447.6626,ok,,
29,2026-07-06 12:21:15+00:00,2026-07-06 12:30:01.092258+00:00,55.516216381893415,8.219664618990384,9.423802003327044,2240241809924.8467,785428366686.2557,1243697490675.5232,ok,,
31,2026-07-06 12:31:16+00:00,2026-07-06 12:40:01.056884+00:00,55.51919975831908,8.22341637105193,9.419693622273003,2239755205107.3765,785282960476.4357,1243494166420.9136,ok,,
33,2026-07-06 12:41:16+00:00,2026-07-06 12:50:01.035283+00:00,55.507264349882725,8.225324276509754,9.422282958124924,2238297784566.8667,784981165642.436,1242417868217.099,ok,,
35,2026-07-06 12:51:17+00:00,2026-07-06 13:00:01.142820+00:00,55.46800034895093,8.26165935669042,9.414646279647467,2228977441979.468,782757884868.7577,1236369215295.2085,ok,,
37,2026-07-06 13:01:18+00:00,2026-07-06 13:10:02.232188+00:00,55.48405229090777,8.25800691553224,9.421449096428006,2229437329318.024,782409852607.7323,1236982173591.83,ok,,
39,2026-07-06 13:11:19+00:00,2026-07-06 13:20:01.036567+00:00,55.51861466425879,8.265475556862437,9.40607739364637,2227744903328.08,781388385006.6469,1236813108581.381,ok,,
41,2026-07-06 13:21:20+00:00,2026-07-06 13:30:01.403125+00:00,55.47592233136043,8.283079073851924,9.40767770724054,2222948874925.9507,780619617856.4166,1233201391319.7708,ok,,
43,2026-07-06 13:31:21+00:00,2026-07-06 13:40:00.968637+00:00,55.43370356643913,8.285607407405463,9.42893122414153,2222549725976.041,780945414177.1505,1232041626714.2637,ok,,
45,2026-07-06 13:41:21+00:00,2026-07-06 13:50:00.993365+00:00,55.39199174300725,8.294031330347673,9.41713952753014,2223643168418.653,782519348409.8713,1231720240244.405,ok,,
47,2026-07-06 13:51:22+00:00,2026-07-06 14:00:00.998236+00:00,55.47354505421387,8.23966785371448,9.43693024558321,2234987492501.973,784246488227.9255,1239826793609.127,ok,,
49,2026-07-06 14:01:22+00:00,2026-07-06 14:10:00.964977+00:00,55.47583679033605,8.243295409052294,9.42654770829538,2231520084675.47,783210339155.2107,1237954440118.1328,ok,,
51,2026-07-06 14:11:23+00:00,2026-07-06 14:20:01.523955+00:00,55.48221208565328,8.246612023985994,9.426558507571206,2233596661091.589,783796528365.7277,1239248836644.9058,ok,,
53,2026-07-06 14:21:23+00:00,2026-07-06 14:30:01.131045+00:00,55.46578196757247,8.2477190006068,9.42476479879795,2232315326237.398,783753705492.465,1238171151679.5393,ok,,
55,2026-07-06 14:31:24+00:00,2026-07-06 14:40:01.164768+00:00,55.538669184514845,8.216539708787392,9.429038250599572,2241054425529.983,785092742889.9795,1244651803640.0269,ok,,
57,2026-07-06 14:41:25+00:00,2026-07-06 14:50:00.996555+00:00,55.495238110920994,8.224008151471532,9.433920683310658,2240086207518.274,785617076711.0521,1243141174752.166,ok,,
59,2026-07-06 14:51:25+00:00,2026-07-06 15:00:02.661894+00:00,55.48490779832452,8.232407131046829,9.42806121674476,2237146982329.6973,784948454868.4635,1241278940458.6318,ok,,
61,2026-07-06 15:01:26+00:00,2026-07-06 15:10:01.168281+00:00,55.49472150236048,8.226328574567479,9.43083621542686,2239086454621.014,785347086174.8894,1242574792189.0088,ok,,
63,2026-07-06 15:11:26+00:00,2026-07-06 15:20:00.981534+00:00,55.5935925488944,8.183134660366244,9.435297750941253,2250750006609.373,787112253887.8203,1251272787968.629,ok,,
